Gene Symbol,Gene ID,PCC,Tumor
IRF1,ENSG00000125347.13,0.54,BLCA Tumor
LAP3,ENSG00000002549.12,0.51,BLCA Tumor
IFNG,ENSG00000111537.4,0.51,BLCA Tumor
CXCL10,ENSG00000169245.5,0.49,BLCA Tumor
MAT2B,ENSG00000038274.16,0.49,BLCA Tumor
MAX,ENSG00000125952.18,0.49,BLCA Tumor
SLA2,ENSG00000101082.13,0.49,BLCA Tumor
APOL3,ENSG00000128284.19,0.48,BLCA Tumor
USP30-AS1,ENSG00000256262.1,0.48,BLCA Tumor
STAT1,ENSG00000115415.18,0.48,BLCA Tumor
FASLG,ENSG00000117560.7,0.47,BLCA Tumor
CD8A,ENSG00000153563.15,0.47,BLCA Tumor
PARP14,ENSG00000173193.13,0.47,BLCA Tumor
GBP1P1,ENSG00000225492.6,0.47,BLCA Tumor
XCL2,ENSG00000143185.3,0.46,BLCA Tumor
CCL4,ENSG00000275302.1,0.46,BLCA Tumor
GBP5,ENSG00000154451.14,0.46,BLCA Tumor
CDC42SE2,ENSG00000158985.13,0.46,BLCA Tumor
CCR5,ENSG00000160791.13,0.46,BLCA Tumor
GBP1,ENSG00000117228.9,0.46,BLCA Tumor
C5orf56,ENSG00000197536.10,0.46,BLCA Tumor
TAP1,ENSG00000168394.10,0.46,BLCA Tumor
IL18BP,ENSG00000137496.17,0.46,BLCA Tumor
RP4-742C19.12,ENSG00000225720.6,0.46,BLCA Tumor
BTN3A3,ENSG00000111801.15,0.46,BLCA Tumor
TRIM69,ENSG00000185880.12,0.45,BLCA Tumor
IL18RAP,ENSG00000115607.9,0.45,BLCA Tumor
SLFN12L,ENSG00000205045.8,0.45,BLCA Tumor
C15orf53,ENSG00000175779.1,0.45,BLCA Tumor
PSMC6,ENSG00000100519.11,0.45,BLCA Tumor
ETV7,ENSG00000010030.13,0.45,BLCA Tumor
RP11-1094M14.5,ENSG00000267074.1,0.45,BLCA Tumor
GBP4,ENSG00000162654.8,0.45,BLCA Tumor
SOCS4,ENSG00000180008.8,0.45,BLCA Tumor
LCP2,ENSG00000043462.11,0.45,BLCA Tumor
KIR2DL4,ENSG00000189013.14,0.45,BLCA Tumor
STX11,ENSG00000135604.9,0.44,BLCA Tumor
WARS,ENSG00000140105.17,0.44,BLCA Tumor
PARP8,ENSG00000151883.16,0.44,BLCA Tumor
IL12RB1,ENSG00000096996.15,0.44,BLCA Tumor
LAG3,ENSG00000089692.8,0.44,BLCA Tumor
RP11-1094M14.8,ENSG00000267369.1,0.44,BLCA Tumor
CTSS,ENSG00000163131.10,0.44,BLCA Tumor
AC092580.4,ENSG00000235576.1,0.44,BLCA Tumor
CXCL11,ENSG00000169248.12,0.44,BLCA Tumor
CXCL9,ENSG00000138755.5,0.44,BLCA Tumor
UBD,ENSG00000213886.3,0.44,BLCA Tumor
BTN3A1,ENSG00000026950.16,0.44,BLCA Tumor
AKAP5,ENSG00000179841.8,0.44,BLCA Tumor
NKG7,ENSG00000105374.9,0.43,BLCA Tumor
CXCR2P1,ENSG00000229754.1,0.43,BLCA Tumor
UBE2L6,ENSG00000156587.15,0.43,BLCA Tumor
RP11-638I2.9,ENSG00000258521.1,0.43,BLCA Tumor
TRGV10,ENSG00000211694.2,0.43,BLCA Tumor
RP11-327F22.2,ENSG00000261644.1,0.43,BLCA Tumor
SNX6,ENSG00000129515.18,0.43,BLCA Tumor
CD74,ENSG00000019582.14,0.43,BLCA Tumor
CD3G,ENSG00000160654.9,0.43,BLCA Tumor
BATF2,ENSG00000168062.9,0.43,BLCA Tumor
HCP5,ENSG00000206337.10,0.43,BLCA Tumor
B2M,ENSG00000166710.17,0.43,BLCA Tumor
TRG-AS1,ENSG00000281103.1,0.43,BLCA Tumor
RNF114,ENSG00000124226.10,0.43,BLCA Tumor
GIMAP2,ENSG00000106560.10,0.43,BLCA Tumor
CD2,ENSG00000116824.4,0.43,BLCA Tumor
BAZ1A,ENSG00000198604.10,0.43,BLCA Tumor
FGD2,ENSG00000146192.14,0.43,BLCA Tumor
HLA-E,ENSG00000204592.8,0.43,BLCA Tumor
GRAP2,ENSG00000100351.16,0.43,BLCA Tumor
FAM26F,ENSG00000188820.12,0.43,BLCA Tumor
HLA-DRA,ENSG00000204287.13,0.43,BLCA Tumor
CXCR6,ENSG00000172215.5,0.43,BLCA Tumor
PTAFR,ENSG00000169403.11,0.43,BLCA Tumor
TRIM21,ENSG00000132109.9,0.42,BLCA Tumor
BTN2A2,ENSG00000124508.16,0.42,BLCA Tumor
ERAP1,ENSG00000164307.12,0.42,BLCA Tumor
NLRC5,ENSG00000140853.15,0.42,BLCA Tumor
TNFSF13B,ENSG00000102524.11,0.42,BLCA Tumor
WDFY1,ENSG00000085449.14,0.42,BLCA Tumor
RP11-10J5.1,ENSG00000226004.1,0.42,BLCA Tumor
JAK2,ENSG00000096968.12,0.42,BLCA Tumor
PSMB9,ENSG00000240065.7,0.42,BLCA Tumor
TBX21,ENSG00000073861.2,0.42,BLCA Tumor
CTD-2288O8.1,ENSG00000248898.1,0.42,BLCA Tumor
SAMD3,ENSG00000164483.16,0.42,BLCA Tumor
PSMB8,ENSG00000204264.8,0.42,BLCA Tumor
RAB2B,ENSG00000129472.12,0.42,BLCA Tumor
KLRK1,ENSG00000213809.8,0.42,BLCA Tumor
AP5M1,ENSG00000053770.11,0.42,BLCA Tumor
FCRL6,ENSG00000181036.13,0.42,BLCA Tumor
NMI,ENSG00000123609.10,0.42,BLCA Tumor
PSMA4,ENSG00000041357.15,0.42,BLCA Tumor
SAMHD1,ENSG00000101347.8,0.41,BLCA Tumor
HAVCR2,ENSG00000135077.8,0.41,BLCA Tumor
RP11-291B21.2,ENSG00000256039.1,0.41,BLCA Tumor
GZMH,ENSG00000100450.12,0.41,BLCA Tumor
PSME2,ENSG00000100911.13,0.41,BLCA Tumor
GMFB,ENSG00000197045.12,0.41,BLCA Tumor
UBASH3A,ENSG00000160185.13,0.41,BLCA Tumor
TIGIT,ENSG00000181847.11,0.41,BLCA Tumor
ZNF80,ENSG00000174255.6,0.41,BLCA Tumor
BTN3A2,ENSG00000186470.13,0.41,BLCA Tumor
CASP5,ENSG00000137757.10,0.41,BLCA Tumor
TRGC2,ENSG00000227191.6,0.41,BLCA Tumor
TOMM20P2,ENSG00000255987.1,0.41,BLCA Tumor
GPR171,ENSG00000174946.6,0.41,BLCA Tumor
NUB1,ENSG00000013374.15,0.41,BLCA Tumor
SPN,ENSG00000197471.11,0.41,BLCA Tumor
ISG20,ENSG00000172183.14,0.41,BLCA Tumor
ITGAL,ENSG00000005844.17,0.4,BLCA Tumor
NT5C3A,ENSG00000122643.18,0.4,BLCA Tumor
C9orf72,ENSG00000147894.14,0.4,BLCA Tumor
CXCR3,ENSG00000186810.7,0.4,BLCA Tumor
SAMD9L,ENSG00000177409.11,0.4,BLCA Tumor
IRF2,ENSG00000168310.10,0.4,BLCA Tumor
CD3E,ENSG00000198851.9,0.4,BLCA Tumor
CD80,ENSG00000121594.11,0.4,BLCA Tumor
IFIT5,ENSG00000152778.8,0.4,BLCA Tumor
TRIM22,ENSG00000132274.15,0.4,BLCA Tumor
DTX3L,ENSG00000163840.9,0.4,BLCA Tumor
WTAP,ENSG00000146457.14,0.4,BLCA Tumor
HLA-DMB,ENSG00000242574.8,0.4,BLCA Tumor
PSME1,ENSG00000092010.14,0.4,BLCA Tumor
PARP9,ENSG00000138496.16,0.4,BLCA Tumor
SP110,ENSG00000135899.16,0.4,BLCA Tumor
E2F3P1,ENSG00000267046.1,0.4,BLCA Tumor
PYHIN1,ENSG00000163564.14,0.39,BLCA Tumor
APOL6,ENSG00000221963.5,0.39,BLCA Tumor
CIITA,ENSG00000179583.17,0.39,BLCA Tumor
TRGV2,ENSG00000233306.2,0.39,BLCA Tumor
OR2I1P,ENSG00000237988.3,0.39,BLCA Tumor
USP15,ENSG00000135655.13,0.39,BLCA Tumor
AC104820.2,ENSG00000234663.5,0.39,BLCA Tumor
CTC-303L1.1,ENSG00000232578.4,0.39,BLCA Tumor
CD7,ENSG00000173762.7,0.39,BLCA Tumor
PSMA3,ENSG00000100567.12,0.39,BLCA Tumor
TRIM26,ENSG00000234127.8,0.39,BLCA Tumor
TRIM38,ENSG00000112343.10,0.39,BLCA Tumor
CTLA4,ENSG00000163599.14,0.39,BLCA Tumor
RTP4,ENSG00000136514.2,0.39,BLCA Tumor
PML,ENSG00000140464.19,0.39,BLCA Tumor
TRAC,ENSG00000277734.4,0.39,BLCA Tumor
TMEM229B,ENSG00000198133.8,0.39,BLCA Tumor
SLA,ENSG00000155926.13,0.38,BLCA Tumor
TRAV12-2,ENSG00000211789.2,0.38,BLCA Tumor
IFIH1,ENSG00000115267.5,0.38,BLCA Tumor
CCL4L2,ENSG00000276070.4,0.38,BLCA Tumor
ME2,ENSG00000082212.11,0.38,BLCA Tumor
NAA30,ENSG00000139977.13,0.38,BLCA Tumor
MAPK1IP1L,ENSG00000168175.14,0.38,BLCA Tumor
HCG4P11,ENSG00000225864.1,0.38,BLCA Tumor
FTH1P22,ENSG00000225079.2,0.38,BLCA Tumor
TRGV4,ENSG00000211698.2,0.38,BLCA Tumor
ICOS,ENSG00000163600.12,0.38,BLCA Tumor
HPS5,ENSG00000110756.17,0.38,BLCA Tumor
ABHD13,ENSG00000139826.5,0.38,BLCA Tumor
GPR65,ENSG00000140030.5,0.38,BLCA Tumor
FGR,ENSG00000000938.12,0.38,BLCA Tumor
THEMIS,ENSG00000172673.10,0.38,BLCA Tumor
SH2D1A,ENSG00000183918.14,0.38,BLCA Tumor
SLAMF8,ENSG00000158714.10,0.38,BLCA Tumor
AC116366.6,ENSG00000234290.2,0.38,BLCA Tumor
LCK,ENSG00000182866.16,0.38,BLCA Tumor
LILRP2,ENSG00000170858.10,0.38,BLCA Tumor
FBXO33,ENSG00000165355.7,0.38,BLCA Tumor
ZNFX1,ENSG00000124201.14,0.38,BLCA Tumor
LILRB2,ENSG00000131042.13,0.38,BLCA Tumor
SP100,ENSG00000067066.16,0.38,BLCA Tumor
DNAJA1,ENSG00000086061.15,0.38,BLCA Tumor
HLA-F,ENSG00000204642.13,0.37,BLCA Tumor
AC002331.1,ENSG00000236481.1,0.37,BLCA Tumor
TMX1,ENSG00000139921.12,0.37,BLCA Tumor
CYLD,ENSG00000083799.17,0.37,BLCA Tumor
IFI30,ENSG00000216490.3,0.37,BLCA Tumor
TRAPPC6B,ENSG00000182400.14,0.37,BLCA Tumor
GPR174,ENSG00000147138.1,0.37,BLCA Tumor
IFIT3,ENSG00000119917.13,0.37,BLCA Tumor
CTA-212A2.1,ENSG00000279805.1,0.37,BLCA Tumor
SLAMF7,ENSG00000026751.16,0.37,BLCA Tumor
RP11-109E24.1,ENSG00000251517.1,0.37,BLCA Tumor
IL2RA,ENSG00000134460.15,0.37,BLCA Tumor
HLA-B,ENSG00000234745.9,0.37,BLCA Tumor
IDO1,ENSG00000131203.12,0.37,BLCA Tumor
ZBTB1,ENSG00000126804.13,0.37,BLCA Tumor
AD000671.6,ENSG00000267120.3,0.37,BLCA Tumor
