Gene Symbol,Gene ID,PCC,Tumor
CNGA2,ENSG00000183862.5,0.54,CESC Tumor
UGT2A1,ENSG00000270386.1,0.51,CESC Tumor
UGT2A1,ENSG00000173610.11,0.5,CESC Tumor
RP11-401E5.2,ENSG00000251177.2,0.5,CESC Tumor
AKAP5,ENSG00000179841.8,0.49,CESC Tumor
PLXNC1,ENSG00000136040.8,0.48,CESC Tumor
UGT2A2,ENSG00000271271.5,0.48,CESC Tumor
NLRC5,ENSG00000140853.15,0.48,CESC Tumor
RP5-1092A11.5,ENSG00000227589.1,0.47,CESC Tumor
RN7SKP42,ENSG00000222845.1,0.47,CESC Tumor
COPS5P1,ENSG00000213187.3,0.47,CESC Tumor
RNU1-52P,ENSG00000206917.1,0.47,CESC Tumor
RP5-1024N4.2,ENSG00000223720.1,0.47,CESC Tumor
SLC25A15P2,ENSG00000237164.1,0.47,CESC Tumor
PPBPP1,ENSG00000250550.3,0.47,CESC Tumor
RP11-5P4.1,ENSG00000229537.5,0.47,CESC Tumor
ASCL1,ENSG00000139352.3,0.47,CESC Tumor
RP6-24A23.6,ENSG00000260548.1,0.46,CESC Tumor
MYL1,ENSG00000168530.15,0.46,CESC Tumor
RP11-114G22.1,ENSG00000256995.6,0.46,CESC Tumor
PENK,ENSG00000181195.10,0.45,CESC Tumor
XCR1,ENSG00000173578.7,0.44,CESC Tumor
GLYATL3,ENSG00000203972.9,0.44,CESC Tumor
IRS4,ENSG00000133124.11,0.44,CESC Tumor
RP6-24A23.7,ENSG00000261409.1,0.44,CESC Tumor
WDFY1,ENSG00000085449.14,0.43,CESC Tumor
RP6-24A23.8,ENSG00000280322.1,0.43,CESC Tumor
IRF2,ENSG00000168310.10,0.43,CESC Tumor
CH507-236L23.2,ENSG00000280330.1,0.42,CESC Tumor
CH507-338C24.2,ENSG00000279177.1,0.42,CESC Tumor
CARD8-AS1,ENSG00000268001.1,0.42,CESC Tumor
MAX,ENSG00000125952.18,0.42,CESC Tumor
STAT1,ENSG00000115415.18,0.42,CESC Tumor
ATG4A,ENSG00000101844.17,0.41,CESC Tumor
WRAP73,ENSG00000116213.15,0.41,CESC Tumor
IRF9,ENSG00000213928.8,0.41,CESC Tumor
WDR7,ENSG00000091157.13,0.41,CESC Tumor
TRAFD1,ENSG00000135148.11,0.4,CESC Tumor
FAM83E,ENSG00000105523.3,0.4,CESC Tumor
RP11-750I4.2,ENSG00000258544.1,0.4,CESC Tumor
CTCF,ENSG00000102974.14,0.4,CESC Tumor
GBP1P1,ENSG00000225492.6,0.4,CESC Tumor
SMCHD1,ENSG00000101596.14,0.39,CESC Tumor
PPP1R10,ENSG00000204569.9,0.39,CESC Tumor
ARHGEF6,ENSG00000129675.15,0.39,CESC Tumor
KLF3,ENSG00000109787.12,0.39,CESC Tumor
MTND5P18,ENSG00000227860.1,0.39,CESC Tumor
APOL4,ENSG00000100336.17,0.39,CESC Tumor
XIAP,ENSG00000101966.12,0.39,CESC Tumor
LCP1,ENSG00000136167.13,0.39,CESC Tumor
SYNJ1,ENSG00000159082.17,0.39,CESC Tumor
AC004623.2,ENSG00000267755.1,0.38,CESC Tumor
LINC01022,ENSG00000232715.1,0.38,CESC Tumor
PRKCH,ENSG00000027075.13,0.38,CESC Tumor
APOL6,ENSG00000221963.5,0.38,CESC Tumor
TMEM196,ENSG00000173452.13,0.38,CESC Tumor
HELLS,ENSG00000119969.14,0.38,CESC Tumor
PARP9,ENSG00000138496.16,0.38,CESC Tumor
DDX18P1,ENSG00000259165.1,0.38,CESC Tumor
IP6K3,ENSG00000161896.10,0.38,CESC Tumor
CASP3,ENSG00000164305.17,0.38,CESC Tumor
KDM6A,ENSG00000147050.14,0.38,CESC Tumor
STX12,ENSG00000117758.13,0.38,CESC Tumor
SGK3,ENSG00000104205.12,0.38,CESC Tumor
NCOA4,ENSG00000266412.5,0.37,CESC Tumor
CPEB3,ENSG00000107864.14,0.37,CESC Tumor
SRGAP2C,ENSG00000171943.11,0.37,CESC Tumor
ST8SIA4,ENSG00000113532.12,0.37,CESC Tumor
RP11-45H22.3,ENSG00000249016.1,0.37,CESC Tumor
FAM21C,ENSG00000172661.17,0.37,CESC Tumor
LIN52,ENSG00000205659.10,0.37,CESC Tumor
PHF2,ENSG00000197724.10,0.37,CESC Tumor
TMPO,ENSG00000120802.13,0.37,CESC Tumor
RP11-311P8.2,ENSG00000232186.1,0.37,CESC Tumor
BARD1,ENSG00000138376.10,0.37,CESC Tumor
HIATL1,ENSG00000148110.15,0.36,CESC Tumor
FMR1,ENSG00000102081.13,0.36,CESC Tumor
PARP14,ENSG00000173193.13,0.36,CESC Tumor
DPYD,ENSG00000188641.12,0.36,CESC Tumor
ZNF101,ENSG00000181896.11,0.36,CESC Tumor
IL18BP,ENSG00000137496.17,0.36,CESC Tumor
ANXA7,ENSG00000138279.15,0.36,CESC Tumor
STXBP3,ENSG00000116266.10,0.36,CESC Tumor
C18orf25,ENSG00000152242.10,0.36,CESC Tumor
TMEM229B,ENSG00000198133.8,0.36,CESC Tumor
PHF6,ENSG00000156531.16,0.36,CESC Tumor
ANKRD32,ENSG00000133302.12,0.36,CESC Tumor
YTHDC1,ENSG00000083896.12,0.36,CESC Tumor
B2M,ENSG00000166710.17,0.36,CESC Tumor
SRSF4,ENSG00000116350.15,0.36,CESC Tumor
GBP4,ENSG00000162654.8,0.36,CESC Tumor
INIP,ENSG00000148153.13,0.36,CESC Tumor
NLRC3,ENSG00000167984.16,0.36,CESC Tumor
MYCBP2,ENSG00000005810.17,0.36,CESC Tumor
SAMHD1,ENSG00000101347.8,0.36,CESC Tumor
N4BP2L1,ENSG00000139597.16,0.36,CESC Tumor
CD226,ENSG00000150637.8,0.36,CESC Tumor
CXCL9,ENSG00000138755.5,0.36,CESC Tumor
RP11-75L1.2,ENSG00000213443.2,0.36,CESC Tumor
