Gene Symbol,Gene ID,PCC,Tumor
LINC00602,ENSG00000281832.1,0.53,LIHC Tumor
SLC16A14,ENSG00000163053.10,0.52,LIHC Tumor
AKAP12,ENSG00000131016.16,0.51,LIHC Tumor
GK,ENSG00000198814.12,0.51,LIHC Tumor
SLC25A15,ENSG00000102743.14,0.5,LIHC Tumor
CCRN4L,ENSG00000151014.5,0.5,LIHC Tumor
SLC7A2,ENSG00000003989.16,0.5,LIHC Tumor
GOT1,ENSG00000120053.10,0.5,LIHC Tumor
AVPI1,ENSG00000119986.6,0.48,LIHC Tumor
SDS,ENSG00000135094.10,0.47,LIHC Tumor
RP1-232L22__B.1,ENSG00000178146.9,0.47,LIHC Tumor
LINC00473,ENSG00000223414.2,0.46,LIHC Tumor
TNRC6C,ENSG00000078687.16,0.46,LIHC Tumor
PAIP2B,ENSG00000124374.8,0.46,LIHC Tumor
GRAMD4,ENSG00000075240.16,0.45,LIHC Tumor
FGB,ENSG00000171564.11,0.45,LIHC Tumor
ASL,ENSG00000126522.16,0.45,LIHC Tumor
RP13-870H17.3,ENSG00000254872.3,0.45,LIHC Tumor
ACKR3,ENSG00000144476.5,0.44,LIHC Tumor
RP11-1105O14.1,ENSG00000253270.1,0.43,LIHC Tumor
HAL,ENSG00000084110.10,0.43,LIHC Tumor
TNFRSF1B,ENSG00000028137.16,0.43,LIHC Tumor
OAT,ENSG00000065154.11,0.42,LIHC Tumor
AC009950.2,ENSG00000225963.7,0.42,LIHC Tumor
UNC5D,ENSG00000156687.10,0.42,LIHC Tumor
CTH,ENSG00000116761.11,0.42,LIHC Tumor
ARG2,ENSG00000081181.7,0.42,LIHC Tumor
MPC1,ENSG00000060762.18,0.42,LIHC Tumor
CPS1,ENSG00000021826.14,0.42,LIHC Tumor
PRR26,ENSG00000180525.11,0.41,LIHC Tumor
EYS,ENSG00000188107.13,0.41,LIHC Tumor
SERHL2,ENSG00000183569.17,0.41,LIHC Tumor
ACO1,ENSG00000122729.18,0.41,LIHC Tumor
ETS2,ENSG00000157557.11,0.41,LIHC Tumor
CHP1,ENSG00000187446.11,0.41,LIHC Tumor
IRF4,ENSG00000137265.14,0.41,LIHC Tumor
LINC00313,ENSG00000185186.8,0.41,LIHC Tumor
CXCL16,ENSG00000161921.14,0.4,LIHC Tumor
CHST8,ENSG00000124302.12,0.4,LIHC Tumor
AGA,ENSG00000038002.8,0.4,LIHC Tumor
FGA,ENSG00000171560.14,0.4,LIHC Tumor
AC008592.8,ENSG00000272021.1,0.4,LIHC Tumor
ARG1,ENSG00000118520.13,0.4,LIHC Tumor
OSBPL9,ENSG00000117859.18,0.4,LIHC Tumor
