Gene Symbol,Gene ID,PCC
SOCS4,ENSG00000180008.8,0.58
ATP6AP2,ENSG00000182220.13,0.56
TMX1,ENSG00000139921.12,0.55
SGPP1,ENSG00000126821.7,0.55
GK,ENSG00000198814.12,0.54
WDHD1,ENSG00000198554.11,0.54
EXOC5,ENSG00000070367.15,0.54
SRP54,ENSG00000100883.11,0.54
DLGAP5,ENSG00000126787.12,0.53
LRR1,ENSG00000165501.16,0.53
STAT1,ENSG00000115415.18,0.52
CARD8-AS1,ENSG00000268001.1,0.51
PPM1A,ENSG00000100614.17,0.51
GMFB,ENSG00000197045.12,0.51
WARS,ENSG00000140105.17,0.5
C9orf91,ENSG00000157693.14,0.5
CENPI,ENSG00000102384.13,0.5
AP5M1,ENSG00000053770.11,0.5
NIN,ENSG00000100503.23,0.5
PIK3AP1,ENSG00000155629.14,0.5
AKAP5,ENSG00000179841.8,0.5
SMC1A,ENSG00000072501.17,0.5
PPP2R5E,ENSG00000154001.13,0.5
ZNF267,ENSG00000185947.14,0.5
NLRC5,ENSG00000140853.15,0.49
LARP4,ENSG00000161813.20,0.49
DOCK8,ENSG00000107099.15,0.49
NUP210,ENSG00000132182.11,0.49
PATL1,ENSG00000166889.13,0.49
TMEM140,ENSG00000146859.6,0.49
KIAA0586,ENSG00000100578.14,0.48
TNFSF13B,ENSG00000102524.11,0.48
PDCD1LG2,ENSG00000197646.7,0.48
PSEN1,ENSG00000080815.18,0.48
NPL,ENSG00000135838.13,0.48
KIF4A,ENSG00000090889.11,0.48
GNA13,ENSG00000120063.9,0.48
RP2,ENSG00000102218.5,0.48
RP11-848P1.2,ENSG00000264456.1,0.48
LBR,ENSG00000143815.14,0.48
FOXP3,ENSG00000049768.14,0.48
MLKL,ENSG00000168404.12,0.48
UBE2D1,ENSG00000072401.14,0.48
KTN1,ENSG00000126777.17,0.48
TRAPPC6B,ENSG00000182400.14,0.48
ICOS,ENSG00000163600.12,0.48
CSTF2,ENSG00000101811.13,0.48
TAP1,ENSG00000168394.10,0.47
ACBD5,ENSG00000107897.18,0.47
BUB1,ENSG00000169679.14,0.47
DOK3,ENSG00000146094.13,0.47
NAA30,ENSG00000139977.13,0.47
EXOC6,ENSG00000138190.16,0.47
STX11,ENSG00000135604.9,0.47
FPR3,ENSG00000187474.4,0.47
PSMC6,ENSG00000100519.11,0.47
JAK2,ENSG00000096968.12,0.47
TLR2,ENSG00000137462.6,0.47
SNX6,ENSG00000129515.18,0.47
DDX3X,ENSG00000215301.9,0.47
EPSTI1,ENSG00000133106.14,0.47
GBP1P1,ENSG00000225492.6,0.47
DYNLT3,ENSG00000165169.10,0.47
HIF1A,ENSG00000100644.16,0.47
PIGA,ENSG00000165195.13,0.47
FAM78A,ENSG00000126882.12,0.47
SP140,ENSG00000079263.18,0.47
MED14,ENSG00000180182.10,0.47
CD80,ENSG00000121594.11,0.47
CASP3,ENSG00000164305.17,0.47
MAPK1IP1L,ENSG00000168175.14,0.47
DTL,ENSG00000143476.17,0.47
FAM72A,ENSG00000196550.10,0.47
TRIM22,ENSG00000132274.15,0.47
TMED8,ENSG00000100580.7,0.47
CTSS,ENSG00000163131.10,0.46
AP001046.5,ENSG00000237989.1,0.46
KIF21B,ENSG00000116852.14,0.46
IKZF1,ENSG00000185811.16,0.46
CCR5,ENSG00000160791.13,0.46
LGMN,ENSG00000100600.14,0.46
RASGRP3,ENSG00000152689.17,0.46
PTBP3,ENSG00000119314.15,0.46
CPSF2,ENSG00000165934.12,0.46
YIPF6,ENSG00000181704.11,0.46
NRROS,ENSG00000174004.5,0.46
XRN1,ENSG00000114127.10,0.46
TOR1B,ENSG00000136816.15,0.46
ITGAL,ENSG00000005844.17,0.46
BATF2,ENSG00000168062.9,0.46
STYX,ENSG00000198252.11,0.46
CBFB,ENSG00000067955.13,0.46
CD226,ENSG00000150637.8,0.46
GIMAP5,ENSG00000196329.10,0.46
PTPN22,ENSG00000134242.15,0.46
MKI67,ENSG00000148773.12,0.46
GBP5,ENSG00000154451.14,0.46
RACGAP1,ENSG00000161800.12,0.46
CCRL2,ENSG00000121797.9,0.46
MAGT1,ENSG00000102158.19,0.46
