Gene Symbol,Gene ID,PCC
LAP3,ENSG00000002549.12,0.74
IRF1,ENSG00000125347.13,0.73
GBP5,ENSG00000154451.14,0.72
CD38,ENSG00000004468.12,0.72
GBP4,ENSG00000162654.8,0.71
SLAMF7,ENSG00000026751.16,0.71
CCR5,ENSG00000160791.13,0.71
CXCR2P1,ENSG00000229754.1,0.7
STAT1,ENSG00000115415.18,0.7
FYB,ENSG00000082074.15,0.69
TLR8,ENSG00000101916.11,0.68
TAP1,ENSG00000168394.10,0.68
CXCL10,ENSG00000169245.5,0.68
CXCL9,ENSG00000138755.5,0.67
FAM26F,ENSG00000188820.12,0.67
LCP2,ENSG00000043462.11,0.67
APOBEC3H,ENSG00000100298.15,0.67
IL12RB1,ENSG00000096996.15,0.67
ITGAL,ENSG00000005844.17,0.66
GIMAP4,ENSG00000133574.9,0.66
CTSS,ENSG00000163131.10,0.66
CD8A,ENSG00000153563.15,0.66
CD3G,ENSG00000160654.9,0.66
GBP1P1,ENSG00000225492.6,0.66
SLA2,ENSG00000101082.13,0.65
TFEC,ENSG00000105967.15,0.65
GZMK,ENSG00000113088.5,0.65
CECR1,ENSG00000093072.15,0.65
TOMM20P2,ENSG00000255987.1,0.65
IL27,ENSG00000197272.2,0.65
CCL5,ENSG00000271503.5,0.65
IL18BP,ENSG00000137496.17,0.65
UBD,ENSG00000213886.3,0.64
SLAMF8,ENSG00000158714.10,0.64
CD2,ENSG00000116824.4,0.64
GBP1,ENSG00000117228.9,0.64
PYHIN1,ENSG00000163564.14,0.64
USP30-AS1,ENSG00000256262.1,0.64
UBASH3A,ENSG00000160185.13,0.64
EOMES,ENSG00000163508.12,0.64
KMO,ENSG00000117009.11,0.64
AC104820.2,ENSG00000234663.5,0.64
UBE2L6,ENSG00000156587.15,0.64
CCL8,ENSG00000108700.4,0.63
CLEC6A,ENSG00000205846.3,0.63
CXCL11,ENSG00000169248.12,0.63
CD72,ENSG00000137101.12,0.63
SCIMP,ENSG00000161929.14,0.63
TBX21,ENSG00000073861.2,0.63
HLA-E,ENSG00000204592.8,0.63
PRF1,ENSG00000180644.6,0.63
PTPRC,ENSG00000081237.18,0.63
CXCR6,ENSG00000172215.5,0.63
CD96,ENSG00000153283.12,0.63
THEMIS,ENSG00000172673.10,0.63
FTH1P22,ENSG00000225079.2,0.62
EPSTI1,ENSG00000133106.14,0.62
B2M,ENSG00000166710.17,0.62
SNX20,ENSG00000167208.14,0.62
LCK,ENSG00000182866.16,0.62
LCP1,ENSG00000136167.13,0.62
BIN2,ENSG00000110934.10,0.62
SEMA4A,ENSG00000196189.12,0.62
NKG7,ENSG00000105374.9,0.62
TIGIT,ENSG00000181847.11,0.62
CD48,ENSG00000117091.9,0.62
AD000671.6,ENSG00000267120.3,0.62
CD3E,ENSG00000198851.9,0.61
PSMB9,ENSG00000240065.7,0.61
NCF1B,ENSG00000182487.12,0.61
GZMH,ENSG00000100450.12,0.61
XCR1,ENSG00000173578.7,0.61
TAP2,ENSG00000204267.13,0.61
GFI1,ENSG00000162676.11,0.61
CXCR3,ENSG00000186810.7,0.61
IL2RG,ENSG00000147168.12,0.6
TRAV8-4,ENSG00000211790.2,0.6
SLFN12L,ENSG00000205045.8,0.6
P2RY10,ENSG00000078589.12,0.6
PVRIG,ENSG00000213413.2,0.6
NCF1,ENSG00000158517.13,0.6
TRAV9-2,ENSG00000211793.2,0.6
TYMP,ENSG00000025708.12,0.6
CCL4,ENSG00000275302.1,0.6
SIGLEC14,ENSG00000254415.3,0.6
IFNG,ENSG00000111537.4,0.6
GPR171,ENSG00000174946.6,0.6
SIT1,ENSG00000137078.8,0.6
APOL6,ENSG00000221963.5,0.6
TNFSF13B,ENSG00000102524.11,0.6
ITGB7,ENSG00000139626.15,0.6
HLA-A,ENSG00000206503.11,0.6
IL32,ENSG00000008517.16,0.59
TRAV12-3,ENSG00000211794.3,0.59
RARRES3,ENSG00000133321.10,0.59
PIK3CD-AS1,ENSG00000179840.5,0.59
VNN2,ENSG00000112303.13,0.59
ZNF80,ENSG00000174255.6,0.59
ITK,ENSG00000113263.12,0.59
PIK3AP1,ENSG00000155629.14,0.59
