Gene Symbol,Gene ID,PCC
NEUROD1,ENSG00000162992.3,0.6
INSM1,ENSG00000173404.4,0.59
SEZ6,ENSG00000063015.19,0.59
KCNB2,ENSG00000182674.5,0.59
CACNG5,ENSG00000075429.8,0.58
KIF19,ENSG00000196169.14,0.58
NKX2-2,ENSG00000125820.5,0.58
CRYBA2,ENSG00000163499.11,0.58
NKX2-2-AS1,ENSG00000258197.1,0.58
CHGA,ENSG00000100604.12,0.57
RFX6,ENSG00000185002.9,0.57
TMEM196,ENSG00000173452.13,0.57
RP11-357K6.1,ENSG00000255618.1,0.57
GPR142,ENSG00000257008.6,0.56
FEV,ENSG00000163497.2,0.55
PYY,ENSG00000131096.10,0.54
STXBP1,ENSG00000136854.17,0.54
VWA5B2,ENSG00000145198.14,0.52
BX842568.1,ENSG00000235510.1,0.52
TMX1,ENSG00000139921.12,0.52
FAM167A,ENSG00000154319.14,0.52
ABCB10,ENSG00000135776.4,0.52
SGOL1-AS1,ENSG00000237485.5,0.51
BEND3,ENSG00000178409.13,0.51
GPR148,ENSG00000173302.5,0.51
GPR119,ENSG00000147262.3,0.51
GGTLC2,ENSG00000100121.12,0.51
RPRML,ENSG00000179673.4,0.51
PCSK1,ENSG00000175426.10,0.51
SLC18A2,ENSG00000165646.11,0.51
FATE1,ENSG00000147378.11,0.5
RP11-17M24.1,ENSG00000265356.1,0.5
PAK3,ENSG00000077264.14,0.49
RP11-862G15.2,ENSG00000258499.1,0.49
GRIN3A,ENSG00000198785.4,0.49
RP11-388N2.1,ENSG00000233516.1,0.48
TIFA,ENSG00000145365.10,0.48
CPE,ENSG00000109472.13,0.48
SLC7A2,ENSG00000003989.16,0.48
NEUROD2,ENSG00000171532.4,0.48
NYAP2,ENSG00000144460.11,0.48
RFX3,ENSG00000080298.15,0.48
TMED8,ENSG00000100580.7,0.48
HPCA,ENSG00000121905.9,0.48
GMFB,ENSG00000197045.12,0.48
RP11-862G15.1,ENSG00000258742.5,0.47
LMX1A,ENSG00000162761.14,0.47
GLYATL3,ENSG00000203972.9,0.47
RP11-531A24.3,ENSG00000260838.3,0.47
ABHD17B,ENSG00000107362.13,0.47
TPH1,ENSG00000129167.9,0.47
RP5-984P4.4,ENSG00000233492.1,0.47
RP11-349F21.3,ENSG00000279271.1,0.47
SLC18A1,ENSG00000036565.14,0.46
AC067961.1,ENSG00000232784.1,0.46
CFC1,ENSG00000136698.8,0.46
PAPPA2,ENSG00000116183.10,0.46
G2E3,ENSG00000092140.14,0.46
LINC00643,ENSG00000186369.9,0.46
SAAL1,ENSG00000166788.9,0.46
AC016717.1,ENSG00000228206.2,0.46
LIN54,ENSG00000189308.10,0.46
SMC2,ENSG00000136824.18,0.46
KCNH6,ENSG00000173826.14,0.46
RP11-314B1.2,ENSG00000273301.1,0.46
C9orf85,ENSG00000155621.14,0.46
AC005307.3,ENSG00000267243.5,0.46
TMEM190,ENSG00000160472.4,0.45
HTR3C,ENSG00000178084.1,0.45
RP5-984P4.6,ENSG00000278041.1,0.45
STC1,ENSG00000159167.11,0.45
NCAPG,ENSG00000109805.9,0.45
HTATSF1,ENSG00000102241.11,0.45
PPM1AP1,ENSG00000250483.1,0.45
LRRTM3,ENSG00000198739.10,0.45
CFC1B,ENSG00000152093.7,0.45
8-Mar,ENSG00000165406.15,0.45
LCORL,ENSG00000178177.14,0.45
CYB5R4,ENSG00000065615.13,0.45
RP11-3G21.1,ENSG00000254575.1,0.45
RP11-405K6.1,ENSG00000254456.5,0.45
SOCS4,ENSG00000180008.8,0.45
DEPDC1,ENSG00000024526.16,0.45
GPRIN3,ENSG00000185477.4,0.45
CDH18,ENSG00000145526.11,0.45
DCK,ENSG00000156136.9,0.44
SCG2,ENSG00000171951.4,0.44
TUBB8P11,ENSG00000234711.1,0.44
C9orf57,ENSG00000204669.9,0.44
LMNB1,ENSG00000113368.11,0.44
RP11-322J23.1,ENSG00000250968.1,0.44
C8G,ENSG00000176919.11,0.44
CDC7,ENSG00000097046.12,0.44
HMGB3,ENSG00000029993.14,0.43
SMC5,ENSG00000198887.8,0.43
ESCO2,ENSG00000171320.14,0.43
EPB41L3,ENSG00000082397.15,0.43
RP5-1182A14.5,ENSG00000271732.1,0.43
EXOSC9,ENSG00000123737.12,0.43
RP11-1082I11.2,ENSG00000277490.1,0.43
