Gene Symbol,Gene ID,PCC
GBP5,ENSG00000154451.14,0.9
CCL4,ENSG00000275302.1,0.9
FAM26F,ENSG00000188820.12,0.9
CD8A,ENSG00000153563.15,0.88
FASLG,ENSG00000117560.7,0.88
TBX21,ENSG00000073861.2,0.88
JAKMIP1,ENSG00000152969.16,0.87
CCR5,ENSG00000160791.13,0.87
GZMA,ENSG00000145649.7,0.87
IFNG,ENSG00000111537.4,0.87
CXCR6,ENSG00000172215.5,0.87
IL2RB,ENSG00000100385.13,0.86
TIGIT,ENSG00000181847.11,0.86
SLA2,ENSG00000101082.13,0.86
CD2,ENSG00000116824.4,0.85
HAVCR2,ENSG00000135077.8,0.85
SIRPG,ENSG00000089012.14,0.85
CD8B,ENSG00000172116.21,0.85
AKAP5,ENSG00000179841.8,0.85
PDCD1,ENSG00000188389.10,0.85
FTH1P22,ENSG00000225079.2,0.84
USP30-AS1,ENSG00000256262.1,0.83
CCL5,ENSG00000271503.5,0.83
SAMSN1,ENSG00000155307.17,0.83
CRTAM,ENSG00000109943.8,0.83
CXCL9,ENSG00000138755.5,0.83
ANKRD22,ENSG00000152766.5,0.83
LAG3,ENSG00000089692.8,0.82
SLA,ENSG00000155926.13,0.82
AC104820.2,ENSG00000234663.5,0.82
AC133644.2,ENSG00000280721.1,0.82
PSTPIP2,ENSG00000152229.18,0.82
TRGC2,ENSG00000227191.6,0.82
GNGT2,ENSG00000167083.6,0.82
TRGV2,ENSG00000233306.2,0.82
CXCR2P1,ENSG00000229754.1,0.81
ZBED2,ENSG00000177494.5,0.81
GPR171,ENSG00000174946.6,0.81
AC017002.1,ENSG00000240350.2,0.81
APOL3,ENSG00000128284.19,0.81
RP11-10J5.1,ENSG00000226004.1,0.81
PRF1,ENSG00000180644.6,0.81
KLRD1,ENSG00000134539.16,0.81
TNFRSF9,ENSG00000049249.8,0.8
AC092580.4,ENSG00000235576.1,0.8
NKG7,ENSG00000105374.9,0.8
IRF1,ENSG00000125347.13,0.8
TRGV10,ENSG00000211694.2,0.8
GZMK,ENSG00000113088.5,0.8
SH2D1A,ENSG00000183918.14,0.8
IL27,ENSG00000197272.2,0.8
GIMAP4,ENSG00000133574.9,0.79
IL10RA,ENSG00000110324.9,0.79
FCGR1B,ENSG00000198019.12,0.79
FCRL6,ENSG00000181036.13,0.79
SAMD3,ENSG00000164483.16,0.79
HMGB3P32,ENSG00000260828.1,0.79
CTD-2547L24.3,ENSG00000258875.5,0.78
CTSW,ENSG00000172543.7,0.78
THEMIS,ENSG00000172673.10,0.78
FCGR1A,ENSG00000150337.13,0.78
AC069363.1,ENSG00000277089.4,0.78
GIMAP5,ENSG00000196329.10,0.78
AIF1,ENSG00000204472.12,0.78
PLEK,ENSG00000115956.9,0.78
SLAMF8,ENSG00000158714.10,0.78
TRAV19,ENSG00000211799.3,0.77
GRIN3A,ENSG00000198785.4,0.77
C1QA,ENSG00000173372.16,0.77
IL12RB1,ENSG00000096996.15,0.77
CD86,ENSG00000114013.15,0.77
STX11,ENSG00000135604.9,0.77
RP11-109E24.1,ENSG00000251517.1,0.77
TRAC,ENSG00000277734.4,0.77
GBP4,ENSG00000162654.8,0.77
CD38,ENSG00000004468.12,0.77
HCST,ENSG00000126264.9,0.77
ICOS,ENSG00000163600.12,0.77
STAC3,ENSG00000185482.7,0.77
KLRK1,ENSG00000213809.8,0.77
ITGAL,ENSG00000005844.17,0.77
C1QC,ENSG00000159189.11,0.77
RP11-305L7.1,ENSG00000230537.1,0.77
CCL4L2,ENSG00000276070.4,0.77
TFEC,ENSG00000105967.15,0.77
GZMH,ENSG00000100450.12,0.77
AOAH,ENSG00000136250.11,0.76
CXCL10,ENSG00000169245.5,0.76
LINC01146,ENSG00000258867.5,0.76
RP11-202G18.1,ENSG00000227531.1,0.76
RP11-652L8.4,ENSG00000280008.1,0.76
CD3D,ENSG00000167286.9,0.76
RP11-598F7.3,ENSG00000256948.1,0.76
C1QB,ENSG00000173369.15,0.76
UBASH3A,ENSG00000160185.13,0.76
SMCO4,ENSG00000166002.6,0.76
SLFN12L,ENSG00000205045.8,0.76
TLR8,ENSG00000101916.11,0.76
PSTPIP1,ENSG00000140368.12,0.76
CD3G,ENSG00000160654.9,0.76
